Statnett saksnr.,Tilko saksnr.,Stasjon for tilknytning i transmisjonsnettet,Områdeplan,Prisområde,Statnetts kunde,Sluttkunde,Næringstype,Dato - moden bestilling fra sluttkunde,Dato - Ønsket tilknytning,Kunde og tilknytningsansvarlig,Kapasitet i kø (MW)
25/02137,ELB638,Haugsvær transformatorstasjon TRA,Bergen og Haugalandet,NO5,BKK AS,Småkraft AS,Vannkraft,2024-11-07,2027-12-31,Magnus Øverby Tennøe,6
25/02156,ELB231,Vang TRA,Innlandet,NO1,Elvia As,Vindr AS,Solkraft,2025-05-05,2029-06-29,Heidi Hellesvik Ringstad,30.8
25/02159,ELB232,Vang TRA,Innlandet,NO1,Elvia As,Vindr AS,Solkraft,2025-05-05,2029-03-30,Heidi Hellesvik Ringstad,70.4
25/02162,ELB278,Vang TRA,Innlandet,NO1,Elvia As,Energeia Hagan Gård AS,Solkraft,2025-09-26,2027-04-01,Heidi Hellesvik Ringstad,10
25/02163,ELB249,Salten transformatorstasjon TRA,Helgeland og Salten,NO4,Arva AS,CADRE AS,Vannkraft,2025-10-15,2029-07-01,Ingvild Grøtterud Birkeland,7.6
25/02171,ELB288,Salten transformatorstasjon TRA,Helgeland og Salten,NO4,Arva AS,Småkraft AS,Vannkraft,2025-08-22,2027-10-01,Ingvild Grøtterud Birkeland,6.6
25/02179,ELB245,Salten transformatorstasjon TRA,Helgeland og Salten,NO4,Arva AS,CADRE AS,Vannkraft,2025-10-09,2029-07-01,Ingvild Grøtterud Birkeland,7.2
25/02184,ELB305,Vang TRA,Innlandet,NO1,Elvia As,STATKRAFT ENERGI AS,Vindkraft,2025-12-11,2032-10-01,Heidi Hellesvik Ringstad,274
25/02190,ELB2927,Fortun KRA/TRA,Sogn og Sunnmøre,NO5,Linja AS,Årdal Energi Produksjon AS,Vannkraft,2025-02-28,2028-10-31,Hans Olav Ween,9
25/02194,ELB289,Fåberg TRA,Innlandet,NO1,Elvia As,Hafslund Kraft AS,Vannkraft,2026-03-24,2028-10-01,Heidi Hellesvik Ringstad,4.8
25/02196,ELB323,Hasle TRA,"Oslo, Akershus og Østfold",NO1,Elvia As,Vindr AS,Vindkraft,2025-08-15,2031-01-01,Karoline Josefine Gudbjerg,57.6
25/02197,ELB324,Hasle TRA,"Oslo, Akershus og Østfold",NO1,Elvia As,Vindr AS,Vindkraft,2025-08-26,2031-01-01,Karoline Josefine Gudbjerg,43.2
25/02198,ELB322,Hasle TRA,"Oslo, Akershus og Østfold",NO1,Elvia As,Vindr AS,Vindkraft,2025-12-09,2031-01-01,Karoline Josefine Gudbjerg,144
25/02200,ELB336,Vågåmo TRA,Innlandet,NO3,Fjellnett As,Hafslund Kraft AS,Vannkraft,2025-07-10,2027-04-01,Heidi Hellesvik Ringstad,7.2
25/02217,ELB295,Minne TRA,Innlandet,NO1,Elvia As,Vindr AS,Solkraft,2025-08-26,2028-07-01,Heidi Hellesvik Ringstad,35
25/02225,ELB311,Vardal TRA,Innlandet,NO1,Elvia As,Aneo AS,Solkraft,2026-04-24,2029-10-01,Heidi Hellesvik Ringstad,25.6
25/02233,ELB349,Vang TRA,Innlandet,NO1,Elvia As,Vindr AS,Vindkraft,2025-08-20,2031-01-01,Heidi Hellesvik Ringstad,50.4
25/02241,ELB321,Vang TRA,Innlandet,NO1,Elvia As,Vindr AS,Vindkraft,2025-12-09,2031-01-01,Heidi Hellesvik Ringstad,108
25/02248,ELB371,Vang TRA,Innlandet,NO1,Elvia As,Vindr AS,Vindkraft,2025-09-01,2031-10-01,Heidi Hellesvik Ringstad,36
25/02249,ELB518,Kollsnes KRA/TRA,Bergen og Haugalandet,NO5,BKK AS,Wind Catching Demo AS (WCD),Offshore vind,2025-06-13,2029-09-01,Magnus Øverby Tennøe,40
25/02257,ELB247,Salten transformatorstasjon TRA,Helgeland og Salten,NO4,Arva AS,CADRE AS,Vannkraft,2025-10-15,2029-07-01,Ingvild Grøtterud Birkeland,5.8
25/02330,ELB420,Frogner TRA,"Oslo, Akershus og Østfold",NO1,Elvia As,Aneo AS,Solkraft,2026-06-09,2029-07-01,Karoline Josefine Gudbjerg,15.6
